Vardas                  Pavarde                 ND1      ND2      ND3      ND4      ND5      ND6      ND7      ND8      ND9      ND10     ND11     ND12     ND13     ND14     ND15     Egz.
Vardas695               Pavarde695              4        10       6        9        1        1        7        3        2        1        7        10       2        1        1        2
Vardas696               Pavarde696              4        3        6        3        4        10       2        4        9        4        1        1        3        4        8        4
Vardas697               Pavarde697              9        7        4        3        10       7        6        2        10       7        7        4        5        8        1        8
Vardas698               Pavarde698              7        4        1        6        8        10       3        1        5        10       5        7        2        1        6        2
Vardas699               Pavarde699              9        1        9        5        7        9        8        6        5        8        6        9        9        9        10       7
Vardas700               Pavarde700              2        1        10       5        8        3        8        1        4        1        3        5        8        9        6        7
Vardas701               Pavarde701              8        2        6        9        6        10       3        4        8        10       1        10       10       9        3        7
Vardas702               Pavarde702              4        9        4        6        2        4        1        5        7        3        8        7        3        8        2        9
Vardas703               Pavarde703              10       1        2        9        7        6        3        2        1        3        9        2        1        2        10       4
Vardas704               Pavarde704              9        7        7        10       7        1        9        9        10       3        4        10       8        7        6        6
Vardas705               Pavarde705              4        3        5        2        6        10       8        5        2        8        6        8        4        9        7        3
Vardas706               Pavarde706              5        7        9        10       5        10       7        10       4        10       5        8        10       8        1        8
Vardas707               Pavarde707              5        5        7        1        7        1        10       4        5        1        5        7        7        10       6        4
Vardas708               Pavarde708              9        8        9        1        5        9        2        3        3        5        5        6        7        1        3        8
Vardas709               Pavarde709              3        10       9        6        9        9        6        7        7        5        10       9        8        10       2        3
Vardas710               Pavarde710              4        4        1        8        9        5        9        4        8        8        10       6        10       7        7        3
Vardas711               Pavarde711              1        7        5        1        8        5        4        1        9        6        9        6        5        9        7        7
Vardas712               Pavarde712              10       5        9        2        4        7        10       1        10       5        5        10       1        10       9        10
Vardas713               Pavarde713              1        8        1        9        4        5        9        3        1        10       1        3        2        5        7        6
Vardas714               Pavarde714              3        10       1        7        10       8        7        1        7        9        5        8        6        4        4        2
Vardas715               Pavarde715              10       9        8        9        2        9        8        9        2        2        5        2        4        7        3        1
Vardas716               Pavarde716              4        10       1        10       5        5        2        4        6        5        4        5        5        3        6        8
Vardas717               Pavarde717              5        3        2        4        10       9        6        9        9        9        8        10       10       1        8        8
Vardas718               Pavarde718              8        7        10       10       6        8        10       4        2        2        5        3        3        10       5        7
Vardas719               Pavarde719              10       7        10       9        2        7        4        5        10       4        2        6        2        10       4        1
Vardas720               Pavarde720              3        6        7        10       2        8        2        10       9        10       9        9        4        10       8        9
Vardas721               Pavarde721              1        5        4        9        6        5        9        10       5        6        6        1        5        6        10       5
Vardas722               Pavarde722              1        3        3        9        10       6        2        4        7        10       2        6        5        2        7        10
Vardas723               Pavarde723              8        10       5        8        7        8        7        9        4        10       10       2        6        7        4        5
Vardas724               Pavarde724              7        10       3        6        2        5        3        2        2        6        4        8        8        2        6        8
Vardas725               Pavarde725              7        9        5        5        5        9        9        9        3        5        8        1        6        4        3        1
Vardas726               Pavarde726              6        6        4        1        10       10       9        4        1        7        4        1        1        5        2        1
Vardas727               Pavarde727              1        8        7        5        1        4        3        3        3        5        6        8        3        9        10       2
Vardas728               Pavarde728              6        7        10       7        8        1        7        10       9        8        2        8        9        8        6        7
Vardas729               Pavarde729              10       3        5        10       3        7        10       5        7        8        4        10       9        1        6        8
Vardas730               Pavarde730              10       1        2        10       2        10       4        7        5        5        6        10       10       3        2        8
Vardas731               Pavarde731              8        7        3        9        5        7        2        3        9        7        5        2        7        1        9        5
Vardas732               Pavarde732              1        2        9        3        10       3        6        4        7        2        4        10       7        1        5        5
Vardas733               Pavarde733              7        9        3        4        2        7        3        8        1        9        2        3        4        2        8        3
Vardas734               Pavarde734              9        10       2        4        5        1        1        5        1        2        4        4        6        7        3        2
Vardas735               Pavarde735              8        9        7        8        7        1        3        9        2        3        9        3        9        1        2        10
Vardas736               Pavarde736              10       6        3        10       8        5        5        3        5        2        2        1        10       2        6        5
Vardas737               Pavarde737              8        3        5        6        2        5        5        7        3        9        9        8        10       6        5        6
Vardas738               Pavarde738              4        6        6        9        9        9        4        8        3        4        6        6        6        8        5        5
Vardas739               Pavarde739              6        1        7        10       4        8        7        9        2        7        5        7        8        9        3        3
Vardas740               Pavarde740              2        10       3        1        7        1        1        6        5        3        4        7        2        8        4        5
Vardas741               Pavarde741              5        9        4        4        6        4        7        10       10       3        7        4        2        8        10       8
Vardas742               Pavarde742              8        5        2        4        1        4        3        7        7        3        5        5        10       8        3        1
Vardas743               Pavarde743              9        2        7        8        4        3        10       1        6        1        10       6        8        7        7        10
Vardas744               Pavarde744              1        7        1        4        4        7        2        2        6        4        10       7        9        8        8        7
Vardas745               Pavarde745              7        5        9        3        3        8        10       9        4        3        6        1        2        1        8        7
Vardas746               Pavarde746              6        3        10       7        6        4        9        4        3        10       6        9        4        6        6        3
Vardas747               Pavarde747              2        2        10       4        5        10       10       8        4        1        3        9        7        2        2        8
Vardas748               Pavarde748              3        7        1        1        4        6        5        1        1        3        3        1        5        9        4        9
Vardas749               Pavarde749              7        1        7        4        4        6        1        10       6        3        4        5        1        4        10       7
Vardas750               Pavarde750              2        6        7        4        3        5        8        6        2        3        7        2        1        8        2        2
Vardas751               Pavarde751              5        2        2        9        6        2        6        8        6        2        1        5        9        8        4        6
Vardas752               Pavarde752              3        4        6        3        8        9        7        7        3        4        3        5        3        5        2        10
Vardas753               Pavarde753              8        4        3        2        7        9        5        7        2        9        6        7        6        1        7        3
Vardas754               Pavarde754              9        7        9        5        9        9        10       6        8        8        4        3        7        9        1        2
Vardas755               Pavarde755              2        3        1        4        3        4        2        7        4        3        6        10       3        8        2        8
Vardas756               Pavarde756              7        7        6        9        6        9        3        4        9        6        9        4        8        6        5        6
Vardas757               Pavarde757              8        9        9        2        8        9        4        2        6        1        9        2        4        1        7        8
Vardas758               Pavarde758              3        1        2        6        1        9        7        1        3        1        1        3        2        1        6        9
Vardas759               Pavarde759              1        8        4        6        7        8        4        7        2        5        8        4        1        2        10       9
Vardas760               Pavarde760              5        7        1        1        8        2        5        8        8        2        8        2        8        1        9        10
Vardas761               Pavarde761              6        6        10       5        10       3        4        7        10       3        1        3        8        3        5        4
Vardas762               Pavarde762              8        6        6        1        8        10       4        6        9        9        7        8        4        10       7        10
Vardas763               Pavarde763              2        6        1        5        4        5        6        8        1        5        4        1        10       10       3        6
Vardas764               Pavarde764              9        3        6        6        10       7        1        1        8        10       7        8        3        2        3        2
Vardas765               Pavarde765              3        9        4        7        8        1        6        6        8        10       9        3        10       2        4        5
Vardas766               Pavarde766              3        2        9        7        5        3        2        9        8        9        4        7        6        4        5        6
Vardas767               Pavarde767              3        6        2        7        8        7        5        10       2        7        8        4        9        4        9        6
Vardas768               Pavarde768              1        7        1        3        9        8        2        7        8        6        1        4        5        10       3        1
Vardas769               Pavarde769              1        7        3        2        8        6        9        5        6        8        2        4        2        4        6        1
Vardas770               Pavarde770              5        1        3        8        5        2        1        1        10       6        8        9        2        1        6        9
Vardas771               Pavarde771              4        3        2        6        5        1        4        7        2        8        2        6        8        7        4        6
Vardas772               Pavarde772              9        6        9        9        2        5        6        4        4        1        3        3        2        6        5        6
Vardas773               Pavarde773              10       5        4        6        4        8        1        9        2        7        3        4        7        4        10       3
Vardas774               Pavarde774              6        4        5        8        2        7        1        7        3        1        7        8        4        1        3        4
Vardas775               Pavarde775              8        2        1        2        4        8        3        6        4        9        1        9        6        5        5        5
Vardas776               Pavarde776              3        8        5        3        5        9        8        2        9        2        9        8        1        9        3        3
Vardas777               Pavarde777              3        1        5        1        6        7        10       1        2        9        2        3        6        3        4        5
Vardas778               Pavarde778              1        6        6        9        7        8        6        1        10       2        1        4        5        4        8        7
Vardas779               Pavarde779              6        4        8        7        6        3        3        1        10       8        4        4        1        4        2        3
Vardas780               Pavarde780              8        5        8        8        2        3        10       10       9        7        7        6        1        3        7        3
Vardas781               Pavarde781              7        3        9        4        4        6        5        2        5        9        6        2        5        5        6        4
Vardas782               Pavarde782              2        9        3        4        4        2        7        9        3        4        9        4        9        7        3        5
Vardas783               Pavarde783              6        7        8        4        4        7        7        8        2        2        5        10       6        9        3        4
Vardas784               Pavarde784              9        7        10       9        3        8        9        10       3        3        1        3        7        7        10       2
Vardas785               Pavarde785              6        2        10       3        2        10       5        3        4        7        9        10       5        7        7        3
Vardas786               Pavarde786              10       8        6        7        5        8        9        2        9        6        3        3        9        10       8        6
Vardas787               Pavarde787              5        8        8        6        4        9        3        9        10       9        3        10       9        1        2        5
Vardas788               Pavarde788              9        5        2        6        3        2        9        9        3        6        2        4        3        9        4        6
Vardas789               Pavarde789              4        9        9        7        1        3        1        7        7        5        7        5        3        5        8        4
Vardas790               Pavarde790              4        1        4        3        7        6        5        5        3        6        8        3        4        8        2        9
Vardas791               Pavarde791              2        7        4        6        4        7        2        6        3        1        6        8        5        7        10       8
Vardas792               Pavarde792              7        6        3        6        7        1        5        6        6        5        5        8        8        5        9        1
Vardas793               Pavarde793              2        3        4        10       4        10       5        4        5        5        6        3        7        3        6        7
Vardas794               Pavarde794              5        8        6        6        8        2        2        8        5        9        8        7        8        1        10       2
Vardas795               Pavarde795              1        9        9        1        1        6        5        10       8        5        5        6        9        3        7        10
Vardas796               Pavarde796              2        4        3        1        5        7        3        6        10       3        7        7        3        1        5        5
Vardas797               Pavarde797              5        1        10       10       8        7        10       5        10       2        2        5        7        7        7        10
Vardas798               Pavarde798              6        3        2        3        10       5        8        2        2        2        10       6        9        8        7        9
Vardas799               Pavarde799              5        7        8        5        10       5        9        6        8        6        1        3        9        7        2        2
Vardas800               Pavarde800              1        2        6        10       4        8        7        8        3        8        4        2        1        3        8        1
Vardas801               Pavarde801              3        8        3        8        4        8        9        2        8        7        2        2        7        7        2        8
Vardas802               Pavarde802              4        8        10       4        4        3        9        5        2        3        5        5        8        4        3        7
Vardas803               Pavarde803              5        8        3        6        10       8        8        8        5        4        1        6        1        3        7        3
Vardas804               Pavarde804              3        1        4        4        1        8        5        9        4        10       3        3        5        9        9        7
Vardas805               Pavarde805              10       10       4        8        3        7        3        7        9        1        7        6        10       3        9        10
Vardas806               Pavarde806              7        6        6        8        4        10       5        2        5        9        10       3        2        1        9        10
Vardas807               Pavarde807              8        1        6        6        2        4        4        2        1        9        7        4        5        7        7        5
Vardas808               Pavarde808              7        2        10       8        7        7        4        7        2        4        10       6        6        5        2        7
Vardas809               Pavarde809              7        3        4        9        1        10       9        5        8        1        10       1        2        9        4        3
Vardas810               Pavarde810              5        4        8        7        5        3        8        1        1        10       10       4        9        4        9        5
Vardas811               Pavarde811              2        1        4        9        10       8        7        4        1        4        7        4        1        4        10       5
Vardas812               Pavarde812              4        10       9        2        2        2        1        3        4        5        2        6        7        2        10       9
Vardas813               Pavarde813              10       8        7        10       4        3        6        5        10       7        3        2        4        6        1        10
Vardas814               Pavarde814              1        3        1        10       5        8        3        7        3        9        3        6        7        7        10       10
Vardas815               Pavarde815              6        1        5        7        9        10       2        4        5        4        3        9        8        8        5        9
Vardas816               Pavarde816              7        8        5        5        9        9        7        2        2        3        10       3        10       5        5        8
Vardas817               Pavarde817              1        9        4        2        3        5        4        1        2        8        2        4        8        3        1        3
Vardas818               Pavarde818              1        10       1        6        4        1        5        6        9        5        9        7        5        1        8        3
Vardas819               Pavarde819              7        10       1        7        9        8        1        6        10       5        5        5        4        3        9        5
Vardas820               Pavarde820              4        8        9        5        6        9        1        1        8        9        2        5        9        3        10       9
Vardas821               Pavarde821              4        5        6        9        6        3        9        3        6        5        4        10       9        5        10       10
Vardas822               Pavarde822              3        2        8        10       3        2        1        6        1        5        8        2        2        4        7        8
Vardas823               Pavarde823              9        6        2        4        10       1        7        10       7        5        1        4        8        2        7        9
Vardas824               Pavarde824              8        8        9        9        4        6        2        7        10       8        2        10       2        8        3        7
Vardas825               Pavarde825              1        6        2        7        1        3        2        8        7        2        10       7        10       6        3        9
Vardas826               Pavarde826              5        5        7        4        6        3        3        9        1        10       4        6        3        7        6        6
Vardas827               Pavarde827              10       1        9        3        5        7        6        3        5        4        8        3        5        3        8        1
Vardas828               Pavarde828              8        3        7        4        1        5        10       7        3        1        4        6        9        3        5        1
Vardas829               Pavarde829              8        2        8        1        2        8        1        1        1        6        7        2        5        7        10       1
Vardas830               Pavarde830              1        10       4        7        4        3        5        4        6        7        2        8        8        8        5        4
Vardas831               Pavarde831              8        7        1        3        3        9        8        8        6        1        9        9        1        2        8        3
Vardas832               Pavarde832              8        9        7        3        3        5        1        7        3        8        2        9        9        2        6        6
Vardas833               Pavarde833              8        9        3        8        5        5        2        2        6        3        10       8        7        9        5        6
Vardas834               Pavarde834              10       2        2        4        2        6        1        2        2        5        8        9        7        7        9        4
Vardas835               Pavarde835              6        4        10       3        1        2        4        4        3        3        3        1        10       7        10       6
Vardas836               Pavarde836              8        5        1        4        1        5        9        5        9        7        10       5        4        2        8        5
Vardas837               Pavarde837              7        5        3        5        1        8        6        5        3        7        7        3        2        9        4        1
Vardas838               Pavarde838              5        10       5        7        6        4        3        7        4        5        6        2        10       7        5        3
Vardas839               Pavarde839              3        1        4        3        3        3        8        5        10       1        3        4        2        1        9        9
Vardas840               Pavarde840              9        5        2        9        9        6        9        1        10       8        2        5        7        6        10       1
Vardas841               Pavarde841              7        1        9        1        9        6        5        7        5        5        6        2        3        7        6        9
Vardas842               Pavarde842              1        7        5        2        7        8        8        10       2        9        1        7        3        2        7        2
Vardas843               Pavarde843              10       4        6        10       5        10       8        3        10       5        8        9        9        9        10       5
Vardas844               Pavarde844              1        10       7        8        6        3        5        9        8        6        8        5        10       4        8        10
Vardas845               Pavarde845              9        9        9        10       6        6        4        7        1        8        9        10       3        9        7        7
Vardas846               Pavarde846              8        10       7        5        9        2        5        4        7        9        10       5        1        4        6        2
Vardas847               Pavarde847              1        10       5        3        9        4        2        8        5        2        2        6        3        7        10       8
Vardas848               Pavarde848              8        2        9        4        9        4        5        2        3        4        7        3        3        1        2        7
Vardas849               Pavarde849              7        1        8        7        1        9        4        9        2        3        6        2        2        4        8        3
Vardas850               Pavarde850              5        10       7        3        2        6        4        5        5        10       3        1        8        2        6        1
Vardas851               Pavarde851              7        10       7        6        5        1        1        6        8        2        8        10       6        7        1        4
Vardas852               Pavarde852              7        6        3        4        2        10       1        6        3        7        7        8        5        8        5        7
Vardas853               Pavarde853              5        8        10       6        3        5        1        9        8        2        1        4        4        5        8        3
Vardas854               Pavarde854              10       8        5        7        1        7        2        6        5        8        4        3        8        3        5        1
Vardas855               Pavarde855              4        8        3        4        2        5        8        10       9        6        7        8        10       1        4        8
Vardas856               Pavarde856              6        2        7        3        2        6        4        8        5        8        8        6        9        8        6        4
Vardas857               Pavarde857              10       2        6        6        1        3        5        7        7        7        5        3        4        7        3        5
Vardas858               Pavarde858              7        2        9        5        4        2        1        2        2        7        9        8        2        1        1        2
Vardas859               Pavarde859              1        5        3        8        4        5        8        7        10       7        10       10       4        3        10       10
Vardas860               Pavarde860              2        6        1        5        4        9        5        8        4        1        10       1        4        6        2        10
Vardas861               Pavarde861              4        4        1        9        9        7        2        5        7        8        10       8        4        4        7        9
Vardas862               Pavarde862              10       9        9        10       2        10       7        10       8        10       3        3        2        6        8        7
Vardas863               Pavarde863              2        1        2        9        9        3        4        3        10       8        3        2        7        7        9        2
Vardas864               Pavarde864              3        3        9        5        1        9        1        2        2        8        5        4        1        1        2        3
Vardas865               Pavarde865              5        8        1        1        2        9        6        1        5        9        5        2        5        7        10       7
Vardas866               Pavarde866              4        8        4        4        8        5        4        7        9        10       7        3        5        3        6        1
Vardas867               Pavarde867              2        10       4        4        9        6        10       2        4        10       10       10       3        3        4        2
Vardas868               Pavarde868              10       7        6        5        8        10       2        6        5        2        2        1        3        7        6        2
Vardas869               Pavarde869              9        5        8        3        4        5        6        6        7        2        9        1        1        4        9        1
Vardas870               Pavarde870              9        10       4        7        2        9        5        5        5        8        7        7        3        2        2        2
Vardas871               Pavarde871              6        6        2        5        5        1        7        4        1        10       6        10       9        9        8        3
Vardas872               Pavarde872              2        7        10       7        2        6        2        7        6        2        3        8        5        7        4        1
Vardas873               Pavarde873              1        2        1        10       10       6        7        2        7        1        3        4        10       8        1        3
Vardas874               Pavarde874              3        4        10       4        6        5        4        9        7        3        5        2        1        10       1        10
Vardas875               Pavarde875              8        6        10       1        10       7        9        4        3        9        10       5        4        3        3        10
Vardas876               Pavarde876              2        2        3        6        1        5        7        5        2        5        4        7        8        4        8        10
Vardas877               Pavarde877              2        6        6        2        1        6        6        7        5        3        1        9        4        6        9        5
Vardas878               Pavarde878              6        8        8        9        8        5        4        2        6        2        4        5        9        1        8        6
Vardas879               Pavarde879              1        3        3        4        9        3        8        3        2        9        4        9        4        9        2        8
Vardas880               Pavarde880              5        4        9        8        5        5        5        6        3        9        5        5        2        10       10       3
Vardas881               Pavarde881              10       10       6        7        6        1        4        10       2        7        2        8        4        5        6        1
Vardas882               Pavarde882              1        4        4        4        6        6        9        7        10       6        2        4        4        5        3        8
Vardas883               Pavarde883              8        7        3        4        9        6        4        9        6        1        9        2        4        2        10       10
Vardas884               Pavarde884              9        4        10       5        3        10       4        1        2        9        3        2        6        3        4        9
Vardas885               Pavarde885              4        3        7        1        4        4        1        6        7        10       8        3        7        7        4        1
Vardas886               Pavarde886              2        9        10       4        2        1        2        7        8        10       5        10       6        7        6        7
Vardas887               Pavarde887              1        3        7        5        8        6        2        3        10       5        5        9        8        4        10       2
Vardas888               Pavarde888              1        3        2        1        4        7        2        7        7        1        5        9        1        3        7        1
Vardas889               Pavarde889              8        10       2        9        1        8        1        6        7        6        5        5        6        8        10       9
Vardas890               Pavarde890              1        5        6        2        5        5        10       8        6        9        3        7        6        1        3        6
Vardas891               Pavarde891              2        3        3        1        7        3        5        4        1        1        5        9        6        10       6        2
Vardas892               Pavarde892              8        7        6        7        1        3        9        10       3        4        9        7        6        4        7        8
Vardas893               Pavarde893              8        5        8        8        10       3        10       8        2        5        7        6        9        3        8        4
Vardas894               Pavarde894              9        10       7        9        4        6        3        1        5        7        3        10       9        4        10       9
Vardas895               Pavarde895              3        3        2        5        7        6        2        9        3        2        6        3        5        7        7        10
Vardas896               Pavarde896              6        1        1        2        8        6        8        9        1        6        2        1        5        2        3        9
Vardas897               Pavarde897              1        8        4        7        3        9        4        1        7        2        2        5        2        1        2        2
Vardas898               Pavarde898              7        4        7        10       1        10       8        8        4        4        4        10       7        3        1        10
Vardas899               Pavarde899              3        3        2        5        9        7        5        9        8        10       5        8        9        3        7        2
Vardas900               Pavarde900              5        5        6        5        3        2        6        3        3        6        1        3        5        1        1        7
Vardas901               Pavarde901              9        7        6        6        1        6        9        8        5        7        3        2        6        1        5        8
Vardas902               Pavarde902              2        3        7        1        9        3        3        3        1        2        5        6        1        7        6        3
Vardas903               Pavarde903              5        2        7        4        4        6        3        8        1        2        7        8        6        7        8        8
Vardas904               Pavarde904              4        4        1        2        4        10       6        1        10       8        3        5        9        2        4        4
Vardas905               Pavarde905              1        4        7        5        5        7        9        9        7        1        8        3        8        2        1        1
Vardas906               Pavarde906              2        2        9        6        4        5        5        3        8        6        2        1        2        1        5        6
Vardas907               Pavarde907              3        3        3        8        10       2        9        7        1        5        10       9        6        2        2        1
Vardas908               Pavarde908              4        8        4        9        9        7        8        9        7        7        1        6        2        9        8        9
Vardas909               Pavarde909              10       2        2        5        9        5        3        10       7        1        2        2        10       3        3        8
Vardas910               Pavarde910              5        10       1        1        9        10       5        3        7        3        2        3        4        2        2        8
Vardas911               Pavarde911              6        9        8        6        4        6        3        9        4        8        4        5        5        3        9        9
Vardas912               Pavarde912              10       6        8        3        6        7        2        3        10       7        1        6        10       2        7        2
Vardas913               Pavarde913              5        1        4        4        9        6        7        5        10       7        4        10       7        2        6        3
Vardas914               Pavarde914              2        2        2        9        3        2        3        7        4        9        8        1        1        3        8        1
Vardas915               Pavarde915              2        10       3        8        10       4        3        9        10       1        6        8        9        9        2        3
Vardas916               Pavarde916              1        6        10       2        8        3        5        9        7        3        3        10       3        6        9        4
Vardas917               Pavarde917              9        4        1        9        8        4        1        4        7        10       1        8        7        9        6        8
Vardas918               Pavarde918              9        9        9        8        1        4        9        5        8        4        9        4        6        3        6        2
Vardas919               Pavarde919              2        6        2        4        5        10       4        2        9        1        2        5        3        7        7        7
Vardas920               Pavarde920              3        2        10       10       6        4        5        5        5        9        3        3        10       10       10       6
Vardas921               Pavarde921              5        5        2        7        10       7        10       10       4        1        5        7        1        5        2        5
Vardas922               Pavarde922              9        10       1        6        3        7        1        3        5        3        8        10       7        4        1        7
Vardas923               Pavarde923              4        10       5        6        6        1        9        10       10       8        2        6        7        9        1        5
Vardas924               Pavarde924              7        4        3        8        2        5        3        9        8        7        3        2        1        5        7        6
Vardas925               Pavarde925              7        2        1        6        4        1        4        7        4        5        9        4        6        1        7        10
Vardas926               Pavarde926              3        8        9        2        8        4        10       5        2        2        1        10       7        10       7        1
Vardas927               Pavarde927              2        3        7        6        1        7        10       5        9        7        8        4        9        7        4        4
Vardas928               Pavarde928              4        5        8        7        4        1        1        4        5        5        5        4        6        4        6        1
Vardas929               Pavarde929              8        5        2        6        8        9        5        2        4        6        10       1        3        5        9        4
Vardas930               Pavarde930              8        7        8        2        5        9        2        7        9        5        7        10       7        1        10       4
Vardas931               Pavarde931              9        9        3        2        9        7        1        2        4        8        8        3        1        4        3        6
Vardas932               Pavarde932              2        8        3        4        5        2        10       10       5        6        3        4        7        9        6        5
Vardas933               Pavarde933              2        8        7        8        5        8        10       5        4        8        6        3        10       5        5        2
Vardas934               Pavarde934              3        7        8        6        2        6        8        2        4        6        2        5        9        6        2        1
Vardas935               Pavarde935              8        6        10       4        3        4        8        2        5        7        5        3        3        10       9        2
Vardas936               Pavarde936              3        4        3        1        7        8        5        5        3        3        6        1        5        7        6        5
Vardas937               Pavarde937              6        6        10       7        3        8        8        10       10       4        3        4        4        1        2        10
Vardas938               Pavarde938              3        10       3        3        4        3        4        9        7        8        6        2        6        10       6        3
